county,time,start_date,end_date,cases,deaths,est_cases,est_deaths,cumulative_deaths,hospitalized,icu
Alameda,1,2022-06-10,2022-06-16,4928,6,4928,6,1903,105,13
Alameda,2,2022-06-17,2022-06-23,5165,10,5165,10,1913,141,15
Alameda,3,2022-06-24,2022-06-30,5541,8,5541,8,1921,138,12
Alameda,4,2022-07-01,2022-07-07,5230,9,5230,9,1930,139,21
Alameda,5,2022-07-08,2022-07-14,5262,4,5262,4,1934,164,22
Alameda,6,2022-07-15,2022-07-21,4640,9,4640,9,1943,146,23
Alameda,7,2022-07-22,2022-07-28,4190,12,4190,12,1955,163,18
Alameda,8,2022-07-29,2022-08-04,3656,5,3656,5,1960,161,23
Alameda,9,2022-08-05,2022-08-11,2875,11,2875,11,1971,153,20
Alameda,10,2022-08-12,2022-08-18,2388,8,2388,8,1979,117,20
Alameda,11,2022-08-19,2022-08-25,2160,14,2160,14,1993,107,14
Alameda,12,2022-08-26,2022-09-01,1805,7,1805,7,2000,114,21
Alameda,13,2022-09-02,2022-09-08,1452,0,1452,0,2000,118,19
Alameda,14,2022-09-09,2022-09-15,1422,4,1422,4,2004,101,18
Alameda,15,2022-09-16,2022-09-22,1141,2,1141,2,2006,82,5
Alameda,16,2022-09-23,2022-09-29,1180,3,1180,3,2009,72,8
Alameda,17,2022-09-30,2022-10-06,1108,1,1108,1,2010,66,10
Alameda,18,2022-10-07,2022-10-13,949,4,949,4,2014,66,12
Alameda,19,2022-10-14,2022-10-20,914,6,914,6,2020,58,9
Alameda,20,2022-10-21,2022-10-27,1019,3,1019,3,2023,53,8
Alameda,21,2022-10-28,2022-11-03,1183,4,1183,4,2027,69,5
Alameda,22,2022-11-04,2022-11-10,1416,3,1416,3,2030,77,6
Alameda,23,2022-11-11,2022-11-17,1572,5,1572,5,2035,86,13
Alameda,24,2022-11-18,2022-11-24,1810,9,1810,9,2044,102,12
Alameda,25,2022-11-25,2022-12-01,2796,3,2797,3,2047,131,16
Alameda,26,2022-12-02,2022-12-08,2830,6,2831,6,2053,155,13
Alameda,27,2022-12-09,2022-12-15,2537,13,2538,13,2066,167,17
Alameda,28,2022-12-16,2022-12-22,2232,8,2233,8,2074,168,18
Alameda,29,2022-12-23,2022-12-29,2034,9,2035,9,2083,168,13
Alameda,30,2022-12-30,2023-01-05,1635,16,1636,16,2099,168,13
Alameda,31,2023-01-06,2023-01-12,1105,10,1106,10,2109,124,5
Alameda,32,2023-01-13,2023-01-19,809,7,810,7,2116,117,12
Alameda,33,2023-01-20,2023-01-26,797,11,798,11,2127,112,8
Alameda,34,2023-01-27,2023-02-02,953,5,954,5,2132,81,8
Alameda,35,2023-02-03,2023-02-09,1184,7,1185,7,2139,84,9
Alameda,36,2023-02-10,2023-02-16,1041,6,1042,6,2145,91,11
Alameda,37,2023-02-17,2023-02-23,1120,3,1121,3,2148,95,11
Alameda,38,2023-02-24,2023-03-02,1018,7,1019,7,2155,94,14
Alameda,39,2023-03-03,2023-03-09,895,7,896,7,2162,99,21
Alameda,40,2023-03-10,2023-03-16,811,4,812,4,2166,88,15
Alameda,41,2023-03-17,2023-03-23,691,8,692,8,2174,77,9
Alameda,42,2023-03-24,2023-03-30,544,5,545,5,2179,80,16
Alameda,43,2023-03-31,2023-04-06,595,6,596,6,2185,66,12
Alameda,44,2023-04-07,2023-04-13,561,9,562,9,2194,65,12
Alameda,45,2023-04-14,2023-04-20,562,5,563,5,2199,66,12
Alameda,46,2023-04-21,2023-04-27,516,5,517,5,2204,60,6
Alameda,47,2023-04-28,2023-05-04,439,0,440,0,2204,59,7
Alameda,48,2023-05-05,2023-05-11,459,5,460,5,2209,54,6
Alameda,49,2023-05-12,2023-05-18,441,4,442,4,2213,72,7
Alameda,50,2023-05-19,2023-05-25,422,6,423,6,2219,60,4
Alameda,51,2023-05-26,2023-06-01,294,3,295,3,2222,52,3
Alameda,52,2023-06-02,2023-06-08,365,5,366,5,2227,61,3
Alameda,53,2023-06-09,2023-06-15,297,4,298,4,2231,59,5
Alameda,54,2023-06-16,2023-06-22,279,0,280,0,2231,55,4
Alameda,55,2023-06-23,2023-06-29,336,3,337,3,2234,49,6
Alameda,56,2023-06-30,2023-07-06,333,3,334,3,2237,46,6
Alameda,57,2023-07-07,2023-07-13,417,4,418,4,2241,70,10
Alameda,58,2023-07-14,2023-07-20,425,6,426,6,2247,61,7
Alameda,59,2023-07-21,2023-07-27,477,4,479,4,2251,59,3
Alameda,60,2023-07-28,2023-08-03,585,4,587,4,2255,68,4
Alameda,61,2023-08-04,2023-08-10,590,1,592,1,2256,68,4
Alameda,62,2023-08-11,2023-08-17,700,3,703,3,2259,71,1
Alameda,63,2023-08-18,2023-08-24,898,10,902,10,2269,79,7
Alameda,64,2023-08-25,2023-08-31,818,5,822,5,2274,80,7
Alameda,65,2023-09-01,2023-09-07,770,3,775,3,2277,74,4
Alameda,66,2023-09-08,2023-09-14,678,3,683,3,2280,85,7
Alameda,67,2023-09-15,2023-09-21,549,5,554,5,2285,73,5
Alameda,68,2023-09-22,2023-09-28,446,6,450,6,2291,72,5
Alameda,69,2023-09-29,2023-10-05,350,8,354,9,2299,55,5
Alameda,70,2023-10-06,2023-10-12,353,1,357,1,2300,53,6
Alameda,71,2023-10-13,2023-10-19,410,5,416,6,2305,49,2
Alameda,72,2023-10-20,2023-10-26,403,6,410,7,2311,43,3
Alameda,73,2023-10-27,2023-11-02,479,1,489,1,2312,53,5
Alameda,74,2023-11-03,2023-11-09,534,3,548,4,2315,48,3
Alameda,75,2023-11-10,2023-11-16,469,3,486,5,2318,49,2
Alameda,76,2023-11-17,2023-11-23,385,3,411,8,2321,42,5
Alameda,77,2023-11-24,2023-11-30,501,2,2107,12,2323,66,10
Alpine,1,2022-06-10,2022-06-16,0,0,0,0,0,0,0
Alpine,2,2022-06-17,2022-06-23,0,0,0,0,0,0,0
Alpine,3,2022-06-24,2022-06-30,0,0,0,0,0,0,0
Alpine,4,2022-07-01,2022-07-07,0,0,0,0,0,0,0
